Year,Quarter,State,Registered Users,App Opens,Average Opens
2018,Q1,Puducherry,49318,0,0.0
2018,Q1,Tamil Nadu,2104754,0,0.0
2018,Q1,Uttar Pradesh,4694250,0,0.0
2018,Q1,Madhya Pradesh,2553603,0,0.0
2018,Q1,Andhra Pradesh,3336450,0,0.0
2018,Q1,Tripura,55157,0,0.0
2018,Q1,Lakshadweep,501,0,0.0
2018,Q1,Manipur,29925,0,0.0
2018,Q1,Maharashtra,6106994,0,0.0
2018,Q1,Dadra & Nagar Haveli & Daman & Diu,53258,0,0.0
2018,Q1,Meghalaya,18513,0,0.0
2018,Q1,Andaman & Nicobar Islands,6740,0,0.0
2018,Q1,Haryana,1847357,0,0.0
2018,Q1,Rajasthan,3158202,0,0.0
2018,Q1,Ladakh,8784,0,0.0
2018,Q1,Punjab,847142,0,0.0
2018,Q1,Assam,385237,0,0.0
2018,Q1,Jharkhand,885762,0,0.0
2018,Q1,Odisha,1594015,0,0.0
2018,Q1,Bihar,2133804,0,0.0
2018,Q1,Kerala,784184,0,0.0
2018,Q1,Karnataka,3717763,0,0.0
2018,Q1,Chandigarh,86268,0,0.0
2018,Q1,Telangana,3315560,0,0.0
2018,Q1,Himachal Pradesh,227373,0,0.0
2018,Q1,West Bengal,2604789,0,0.0
2018,Q1,Gujarat,2690048,0,0.0
2018,Q1,Sikkim,20051,0,0.0
2018,Q1,Nagaland,15074,0,0.0
2018,Q1,Mizoram,7593,0,0.0
2018,Q1,Chhattisgarh,679263,0,0.0
2018,Q1,Jammu & Kashmir,176425,0,0.0
2018,Q1,Goa,91936,0,0.0
2018,Q1,Arunachal Pradesh,21495,0,0.0
2018,Q1,Delhi,2087022,0,0.0
2018,Q1,Uttarakhand,483043,0,0.0
2018,Q2,Puducherry,65580,0,0.0
2018,Q2,Tamil Nadu,2996036,0,0.0
2018,Q2,Uttar Pradesh,6442554,0,0.0
2018,Q2,Madhya Pradesh,3441662,0,0.0
2018,Q2,Andhra Pradesh,4402540,0,0.0
2018,Q2,Tripura,83369,0,0.0
2018,Q2,Lakshadweep,686,0,0.0
2018,Q2,Manipur,46055,0,0.0
2018,Q2,Maharashtra,8222371,0,0.0
2018,Q2,Dadra & Nagar Haveli & Daman & Diu,71458,0,0.0
2018,Q2,Meghalaya,26618,0,0.0
2018,Q2,Andaman & Nicobar Islands,9405,0,0.0
2018,Q2,Haryana,2447221,0,0.0
2018,Q2,Rajasthan,4212964,0,0.0
2018,Q2,Ladakh,12918,0,0.0
2018,Q2,Punjab,1152190,0,0.0
2018,Q2,Assam,571046,0,0.0
2018,Q2,Jharkhand,1230599,0,0.0
2018,Q2,Odisha,2185781,0,0.0
2018,Q2,Bihar,3005872,0,0.0
2018,Q2,Kerala,1066587,0,0.0
2018,Q2,Karnataka,5030665,0,0.0
2018,Q2,Chandigarh,115219,0,0.0
2018,Q2,Telangana,4260115,0,0.0
2018,Q2,Himachal Pradesh,315299,0,0.0
2018,Q2,West Bengal,3833795,0,0.0
2018,Q2,Gujarat,3565825,0,0.0
2018,Q2,Sikkim,28097,0,0.0
2018,Q2,Nagaland,22436,0,0.0
2018,Q2,Mizoram,10422,0,0.0
2018,Q2,Chhattisgarh,950675,0,0.0
2018,Q2,Jammu & Kashmir,261609,0,0.0
2018,Q2,Goa,122174,0,0.0
2018,Q2,Arunachal Pradesh,32883,0,0.0
2018,Q2,Delhi,2756141,0,0.0
2018,Q2,Uttarakhand,649142,0,0.0
2018,Q3,Puducherry,81546,0,0.0
2018,Q3,Tamil Nadu,3900177,0,0.0
2018,Q3,Uttar Pradesh,8096483,0,0.0
2018,Q3,Madhya Pradesh,4309309,0,0.0
2018,Q3,Andhra Pradesh,5427617,0,0.0
2018,Q3,Tripura,116874,0,0.0
2018,Q3,Lakshadweep,918,0,0.0
2018,Q3,Manipur,61935,0,0.0
2018,Q3,Maharashtra,10435033,0,0.0
2018,Q3,Dadra & Nagar Haveli & Daman & Diu,92107,0,0.0
2018,Q3,Meghalaya,37281,0,0.0
2018,Q3,Andaman & Nicobar Islands,12149,0,0.0
2018,Q3,Haryana,3020398,0,0.0
2018,Q3,Rajasthan,5175453,0,0.0
2018,Q3,Ladakh,17749,0,0.0
2018,Q3,Punjab,1473148,0,0.0
2018,Q3,Assam,784802,0,0.0
2018,Q3,Jharkhand,1532362,0,0.0
2018,Q3,Odisha,2795718,0,0.0
2018,Q3,Bihar,3784535,0,0.0
2018,Q3,Kerala,1347598,0,0.0
2018,Q3,Karnataka,6372649,0,0.0
2018,Q3,Chandigarh,143893,0,0.0
2018,Q3,Telangana,5138501,0,0.0
2018,Q3,Himachal Pradesh,407634,0,0.0
2018,Q3,West Bengal,4851740,0,0.0
2018,Q3,Gujarat,4433183,0,0.0
2018,Q3,Sikkim,37637,0,0.0
2018,Q3,Nagaland,32090,0,0.0
2018,Q3,Mizoram,14502,0,0.0
2018,Q3,Chhattisgarh,1217792,0,0.0
2018,Q3,Jammu & Kashmir,342529,0,0.0
2018,Q3,Goa,153802,0,0.0
2018,Q3,Arunachal Pradesh,45922,0,0.0
2018,Q3,Delhi,3504911,0,0.0
2018,Q3,Uttarakhand,810612,0,0.0
2018,Q4,Puducherry,109494,0,0.0
2018,Q4,Tamil Nadu,5199878,0,0.0
2018,Q4,Uttar Pradesh,10341964,0,0.0
2018,Q4,Madhya Pradesh,5365442,0,0.0
2018,Q4,Andhra Pradesh,6857409,0,0.0
2018,Q4,Tripura,153265,0,0.0
2018,Q4,Lakshadweep,1156,0,0.0
2018,Q4,Manipur,82589,0,0.0
2018,Q4,Maharashtra,13381602,0,0.0
2018,Q4,Dadra & Nagar Haveli & Daman & Diu,116511,0,0.0
2018,Q4,Meghalaya,49634,0,0.0
2018,Q4,Andaman & Nicobar Islands,15222,0,0.0
2018,Q4,Haryana,3793079,0,0.0
2018,Q4,Rajasthan,6358738,0,0.0
2018,Q4,Ladakh,23883,0,0.0
2018,Q4,Punjab,1865715,0,0.0
2018,Q4,Assam,1039221,0,0.0
2018,Q4,Jharkhand,1913949,0,0.0
2018,Q4,Odisha,3623911,0,0.0
2018,Q4,Bihar,4776665,0,0.0
2018,Q4,Kerala,1757326,0,0.0
2018,Q4,Karnataka,8315802,0,0.0
2018,Q4,Chandigarh,177747,0,0.0
2018,Q4,Telangana,6529679,0,0.0
2018,Q4,Himachal Pradesh,526343,0,0.0
2018,Q4,West Bengal,6279278,0,0.0
2018,Q4,Gujarat,5579040,0,0.0
2018,Q4,Sikkim,48538,0,0.0
2018,Q4,Nagaland,42997,0,0.0
2018,Q4,Mizoram,19365,0,0.0
2018,Q4,Chhattisgarh,1579998,0,0.0
2018,Q4,Jammu & Kashmir,436563,0,0.0
2018,Q4,Goa,195350,0,0.0
2018,Q4,Arunachal Pradesh,61852,0,0.0
2018,Q4,Delhi,4630313,0,0.0
2018,Q4,Uttarakhand,1012103,0,0.0
2019,Q1,Puducherry,133059,0,0.0
2019,Q1,Tamil Nadu,6296303,0,0.0
2019,Q1,Uttar Pradesh,12458661,0,0.0
2019,Q1,Madhya Pradesh,6414403,0,0.0
2019,Q1,Andhra Pradesh,8283019,0,0.0
2019,Q1,Tripura,183254,0,0.0
2019,Q1,Lakshadweep,1416,0,0.0
2019,Q1,Manipur,99527,0,0.0
2019,Q1,Maharashtra,16284451,0,0.0
2019,Q1,Dadra & Nagar Haveli & Daman & Diu,140532,0,0.0
2019,Q1,Meghalaya,61487,0,0.0
2019,Q1,Andaman & Nicobar Islands,18596,0,0.0
2019,Q1,Haryana,4538767,0,0.0
2019,Q1,Rajasthan,7712204,0,0.0
2019,Q1,Ladakh,29649,0,0.0
2019,Q1,Punjab,2226590,0,0.0
2019,Q1,Assam,1259085,0,0.0
2019,Q1,Jharkhand,2279329,0,0.0
2019,Q1,Odisha,4320744,0,0.0
2019,Q1,Bihar,5745117,0,0.0
2019,Q1,Kerala,2136624,0,0.0
2019,Q1,Karnataka,10266174,0,0.0
2019,Q1,Chandigarh,209175,0,0.0
2019,Q1,Telangana,7963425,0,0.0
2019,Q1,Himachal Pradesh,653205,0,0.0
2019,Q1,West Bengal,7449425,0,0.0
2019,Q1,Gujarat,6652536,0,0.0
2019,Q1,Sikkim,58956,0,0.0
2019,Q1,Nagaland,53911,0,0.0
2019,Q1,Mizoram,23670,0,0.0
2019,Q1,Chhattisgarh,1908898,0,0.0
2019,Q1,Jammu & Kashmir,530669,0,0.0
2019,Q1,Goa,238152,0,0.0
2019,Q1,Arunachal Pradesh,76957,0,0.0
2019,Q1,Delhi,5499263,0,0.0
2019,Q1,Uttarakhand,1224955,0,0.0
2019,Q2,Puducherry,156458,661932,4.230732848432167
2019,Q2,Tamil Nadu,7429609,33658961,4.530381208486207
2019,Q2,Uttar Pradesh,14316349,78394040,5.475840243905761
2019,Q2,Madhya Pradesh,7301172,50642151,6.936167371485016
2019,Q2,Andhra Pradesh,9389003,81375251,8.667081158670415
2019,Q2,Tripura,217644,953627,4.381591038576758
2019,Q2,Lakshadweep,1747,4580,2.621637092157985
2019,Q2,Manipur,117747,464829,3.9476929348518435
2019,Q2,Maharashtra,18776975,109967705,5.856518688446887
2019,Q2,Dadra & Nagar Haveli & Daman & Diu,158580,860686,5.427456173540169
2019,Q2,Meghalaya,74746,395764,5.294785005217671
2019,Q2,Andaman & Nicobar Islands,21731,52640,2.422345957388063
2019,Q2,Haryana,5178030,31929195,6.166282350623693
2019,Q2,Rajasthan,8783935,62787336,7.147973658730399
2019,Q2,Ladakh,35516,157317,4.429468408604572
2019,Q2,Punjab,2600112,10928094,4.2029320275434285
2019,Q2,Assam,1500128,7350326,4.899799217133471
2019,Q2,Jharkhand,2604854,14929066,5.73124866115337
2019,Q2,Odisha,4845359,33955545,7.007849160402769
2019,Q2,Bihar,6589759,39607022,6.010390061305732
2019,Q2,Kerala,2550167,8673220,3.4010400103208926
2019,Q2,Karnataka,11968087,113024811,9.443849380439831
2019,Q2,Chandigarh,240439,1220176,5.074784040858596
2019,Q2,Telangana,9046007,80842302,8.9367941015301
2019,Q2,Himachal Pradesh,772603,3321711,4.299376264394521
2019,Q2,West Bengal,8612795,49514201,5.748912054681436
2019,Q2,Gujarat,7574645,34890301,4.6061961979736346
2019,Q2,Sikkim,70999,398520,5.613036803335258
2019,Q2,Nagaland,66891,362497,5.419219326964764
2019,Q2,Mizoram,28696,133025,4.635663507109005
2019,Q2,Chhattisgarh,2191066,13206373,6.027373433753251
2019,Q2,Jammu & Kashmir,631193,2705373,4.286126430426193
2019,Q2,Goa,278940,1352232,4.847752204775221
2019,Q2,Arunachal Pradesh,95885,502873,5.244542942066016
2019,Q2,Delhi,6165448,43731570,7.093007677625373
2019,Q2,Uttarakhand,1414339,7454279,5.270503747687082
2019,Q3,Puducherry,177868,2476922,13.925618998358333
2019,Q3,Tamil Nadu,8428835,124690342,14.793306785575943
2019,Q3,Uttar Pradesh,16044607,268142606,16.712319971439623
2019,Q3,Madhya Pradesh,8180664,192353380,23.5131744807023
2019,Q3,Andhra Pradesh,10458693,310953542,29.731587111314962
2019,Q3,Tripura,245456,3350991,13.652104654194641
2019,Q3,Lakshadweep,2117,15038,7.103448275862069
2019,Q3,Manipur,136316,1594205,11.694922092784413
2019,Q3,Maharashtra,21313081,439998413,20.644524036670248
2019,Q3,Dadra & Nagar Haveli & Daman & Diu,176929,3126189,17.669172379881196
2019,Q3,Meghalaya,87395,1387814,15.879787173179244
2019,Q3,Andaman & Nicobar Islands,23931,171107,7.150014625381305
2019,Q3,Haryana,5783752,118332587,20.459484950253746
2019,Q3,Rajasthan,9797304,238338999,24.326998427322454
2019,Q3,Ladakh,39173,503126,12.843693360222602
2019,Q3,Punjab,2962713,40860886,13.791712528348173
2019,Q3,Assam,1731523,25393673,14.665512961710586
2019,Q3,Jharkhand,2915511,55504460,19.037643829846637
2019,Q3,Odisha,5387209,130181456,24.16491656440283
2019,Q3,Bihar,7380265,126521298,17.14319174175995
2019,Q3,Kerala,2990963,31471694,10.522261224896463
2019,Q3,Karnataka,13635075,445683660,32.68655727966293
2019,Q3,Chandigarh,267337,4625196,17.300994624762005
2019,Q3,Telangana,10090557,318124511,31.52695247645893
2019,Q3,Himachal Pradesh,876184,10720741,12.23571875313861
2019,Q3,West Bengal,9643222,176559011,18.309130599710347
2019,Q3,Gujarat,8429299,129441484,15.356138630270442
2019,Q3,Sikkim,82128,1316804,16.033557373855444
2019,Q3,Nagaland,80077,1244022,15.535322252332131
2019,Q3,Mizoram,34134,457834,13.412843499150407
2019,Q3,Chhattisgarh,2435058,46362341,19.039522261892735
2019,Q3,Jammu & Kashmir,658455,3843919,5.83778542193468
2019,Q3,Goa,317194,4753892,14.987332673379699
2019,Q3,Arunachal Pradesh,112149,1811700,16.154401733408232
2019,Q3,Delhi,6782286,163381027,24.0893744380582
2019,Q3,Uttarakhand,1585859,24660988,15.550555251128884
2019,Q4,Puducherry,204292,3263122,15.972833003739746
2019,Q4,Tamil Nadu,9620493,155011717,16.112658363765764
2019,Q4,Uttar Pradesh,17949542,324068625,18.054423059931
2019,Q4,Madhya Pradesh,9165241,237844976,25.950760705583193
2019,Q4,Andhra Pradesh,11757883,411201518,34.97241110495826
2019,Q4,Tripura,272298,3610807,13.260497690030775
2019,Q4,Lakshadweep,2427,17760,7.3176761433868975
2019,Q4,Manipur,155358,1855488,11.943305140385432
2019,Q4,Maharashtra,23745297,543654112,22.89523319080827
2019,Q4,Dadra & Nagar Haveli & Daman & Diu,197598,3770543,19.081888480652637
2019,Q4,Meghalaya,100030,1490542,14.900949715085474
2019,Q4,Andaman & Nicobar Islands,25960,177012,6.81864406779661
2019,Q4,Haryana,6366679,136721888,21.47460049422941
2019,Q4,Rajasthan,10925031,288904693,26.444290455560264
2019,Q4,Ladakh,43108,470440,10.913055581330612
2019,Q4,Punjab,3321742,47673880,14.352071894807002
2019,Q4,Assam,1941220,26599449,13.702439187727306
2019,Q4,Jharkhand,3281371,70181789,21.387946989231025
2019,Q4,Odisha,6115537,189905719,31.052991585203394
2019,Q4,Bihar,8342274,163998097,19.658680235149312
2019,Q4,Kerala,3503938,40046033,11.428864608905752
2019,Q4,Karnataka,15385416,569674870,37.026939668059676
2019,Q4,Chandigarh,289590,4960441,17.129186090679926
2019,Q4,Telangana,11220691,399239044,35.58061121191199
2019,Q4,Himachal Pradesh,985945,12637904,12.81806185943435
2019,Q4,West Bengal,10885058,244326613,22.44605522542921
2019,Q4,Gujarat,9323799,147973757,15.870543434065878
2019,Q4,Sikkim,92972,1552004,16.693240975777652
2019,Q4,Nagaland,93124,1454551,15.619507323568575
2019,Q4,Mizoram,39809,529168,13.292672511241177
2019,Q4,Chhattisgarh,2725900,57278977,21.012868043581935
2019,Q4,Jammu & Kashmir,673367,998572,1.4829535750935225
2019,Q4,Goa,353546,6290543,17.792714385115374
2019,Q4,Arunachal Pradesh,129321,2140340,16.550598897317528
2019,Q4,Delhi,7289883,172682671,23.6879893682793
2019,Q4,Uttarakhand,1752677,28853867,16.462740710353362
2020,Q1,Puducherry,230908,3820943,16.547469121901365
2020,Q1,Tamil Nadu,10872368,179908753,16.547338445497797
2020,Q1,Uttar Pradesh,20136256,374282083,18.587471424677954
2020,Q1,Madhya Pradesh,10151371,262452480,25.8538950059061
2020,Q1,Andhra Pradesh,13022060,486513773,37.3607380859864
2020,Q1,Tripura,299962,4063223,13.545792467045827
2020,Q1,Lakshadweep,2772,21982,7.93001443001443
2020,Q1,Manipur,177374,2175642,12.26584505057111
2020,Q1,Maharashtra,26168390,615146568,23.507237854526014
2020,Q1,Dadra & Nagar Haveli & Daman & Diu,218496,4195122,19.199994507908613
2020,Q1,Meghalaya,113814,1716211,15.079085174055916
2020,Q1,Andaman & Nicobar Islands,28368,193586,6.824097574732092
2020,Q1,Haryana,7018770,157793468,22.481641085261376
2020,Q1,Rajasthan,12142053,341815756,28.151397131934772
2020,Q1,Ladakh,47790,590484,12.355806654111738
2020,Q1,Punjab,3739502,53853710,14.401305307498165
2020,Q1,Assam,2185938,33097892,15.141276651030358
2020,Q1,Jharkhand,3651393,74014713,20.270267538991284
2020,Q1,Odisha,6652970,175918622,26.442118632730946
2020,Q1,Bihar,9351234,183868505,19.66248572113584
2020,Q1,Kerala,4078316,46396398,11.376361714001563
2020,Q1,Karnataka,17016980,626488036,36.81546525881796
2020,Q1,Chandigarh,312887,5201211,16.623288919002707
2020,Q1,Telangana,12306860,454723816,36.94880871318923
2020,Q1,Himachal Pradesh,1106025,14640104,13.23668452340589
2020,Q1,West Bengal,11960822,207068218,17.312206301540144
2020,Q1,Gujarat,10259843,165605122,16.141097090861916
2020,Q1,Sikkim,104631,1697163,16.220460475384925
2020,Q1,Nagaland,107143,1684520,15.722165703779062
2020,Q1,Mizoram,46499,644683,13.864448697821459
2020,Q1,Chhattisgarh,3016487,64224101,21.291025288688463
2020,Q1,Jammu & Kashmir,735408,4476894,6.087632987402911
2020,Q1,Goa,391900,7147233,18.23738964021434
2020,Q1,Arunachal Pradesh,149066,2598321,17.4306750030188
2020,Q1,Delhi,7826197,178263986,22.77785570692892
2020,Q1,Uttarakhand,1943606,32631265,16.789032859540463
2020,Q2,Puducherry,255600,3057608,11.962472613458528
2020,Q2,Tamil Nadu,12150786,144907447,11.92576735365103
2020,Q2,Uttar Pradesh,22498519,383703534,17.054612972524993
2020,Q2,Madhya Pradesh,11374423,253770044,22.31058612819305
2020,Q2,Andhra Pradesh,14319675,494341698,34.52185178783736
2020,Q2,Tripura,336666,4443221,13.19771227269757
2020,Q2,Lakshadweep,3187,29202,9.162849074364606
2020,Q2,Manipur,215496,3011491,13.974695585996956
2020,Q2,Maharashtra,28765086,506354812,17.603104402329965
2020,Q2,Dadra & Nagar Haveli & Daman & Diu,244814,4505127,18.402244152703684
2020,Q2,Meghalaya,136211,2205253,16.189977314607486
2020,Q2,Andaman & Nicobar Islands,32710,305072,9.326566799143993
2020,Q2,Haryana,7682878,143650123,18.69743642942137
2020,Q2,Rajasthan,13563201,329941181,24.326203010631488
2020,Q2,Ladakh,53034,695673,13.117490666364974
2020,Q2,Punjab,4225481,51289576,12.13816273224279
2020,Q2,Assam,2550883,39304924,15.408360163911869
2020,Q2,Jharkhand,4061035,76339276,18.797985242678283
2020,Q2,Odisha,7258315,154682772,21.311113116474
2020,Q2,Bihar,10603767,218435035,20.59975808597077
2020,Q2,Kerala,4728844,45832953,9.692210823617781
2020,Q2,Karnataka,18655366,490510075,26.293243188045736
2020,Q2,Chandigarh,336351,3451250,10.260858448466037
2020,Q2,Telangana,13378191,367130505,27.44246251230828
2020,Q2,Himachal Pradesh,1249867,16125580,12.901836755430779
2020,Q2,West Bengal,13222022,198589332,15.019588683183253
2020,Q2,Gujarat,11392657,155264359,13.628459015311353
2020,Q2,Sikkim,119921,1912335,15.946623193602456
2020,Q2,Nagaland,130205,2119279,16.276479397872585
2020,Q2,Mizoram,55574,739308,13.30312736171591
2020,Q2,Chhattisgarh,3401658,68493384,20.13529402426699
2020,Q2,Jammu & Kashmir,845294,9856653,11.660621038360619
2020,Q2,Goa,430639,5310126,12.330806081195618
2020,Q2,Arunachal Pradesh,177534,3387006,19.07806955287438
2020,Q2,Delhi,8391139,142852253,17.024179077476848
2020,Q2,Uttarakhand,2148567,31074793,14.463031871940693
2020,Q3,Puducherry,285173,4222159,14.80560572003661
2020,Q3,Tamil Nadu,13643451,194683284,14.269357803974962
2020,Q3,Uttar Pradesh,24838116,450784508,18.148900987498408
2020,Q3,Madhya Pradesh,12564224,324850994,25.855237378766887
2020,Q3,Andhra Pradesh,15692405,696300382,44.37180801795518
2020,Q3,Tripura,376731,5777908,15.336959262709998
2020,Q3,Lakshadweep,3644,32128,8.81668496158068
2020,Q3,Manipur,258563,3552375,13.738914693904388
2020,Q3,Maharashtra,31409513,668197101,21.273717328886953
2020,Q3,Dadra & Nagar Haveli & Daman & Diu,267946,4421499,16.50145551715644
2020,Q3,Meghalaya,157741,2384534,15.116767359152028
2020,Q3,Andaman & Nicobar Islands,41335,515565,12.472843836942058
2020,Q3,Haryana,8398816,188614769,22.457304577216597
2020,Q3,Rajasthan,14969412,436682870,29.171678219558657
2020,Q3,Ladakh,58401,1015680,17.391483022550982
2020,Q3,Punjab,4694233,58946732,12.557265904781463
2020,Q3,Assam,2830011,41875278,14.796860506902624
2020,Q3,Jharkhand,4480027,99318784,22.16923781932564
2020,Q3,Odisha,7901755,205597666,26.01924078891335
2020,Q3,Bihar,11763213,266652644,22.668351240430656
2020,Q3,Kerala,5582300,64309022,11.520165881446715
2020,Q3,Karnataka,20487550,693683212,33.858768471583964
2020,Q3,Chandigarh,362588,4888739,13.482903460677132
2020,Q3,Telangana,14590882,527781925,36.172037098237105
2020,Q3,Himachal Pradesh,1378634,18411750,13.35506740730317
2020,Q3,West Bengal,14448366,246554831,17.06454771425364
2020,Q3,Gujarat,12467847,184402472,14.790241811597463
2020,Q3,Sikkim,134773,2156470,16.00075682814807
2020,Q3,Nagaland,173106,2868642,16.57159197254861
2020,Q3,Mizoram,68315,924865,13.538241967357095
2020,Q3,Chhattisgarh,3799386,86918606,22.877013812231766
2020,Q3,Jammu & Kashmir,949819,11443454,12.048036520642354
2020,Q3,Goa,474962,6129766,12.905802990555033
2020,Q3,Arunachal Pradesh,206046,4003421,19.42974384360774
2020,Q3,Delhi,9044174,190025029,21.01076659958112
2020,Q3,Uttarakhand,2365438,40377348,17.069713093304497
2020,Q4,Puducherry,319626,6377136,19.951868746597587
2020,Q4,Tamil Nadu,15357586,288233552,18.768154838918043
2020,Q4,Uttar Pradesh,27249134,552220798,20.265627450765958
2020,Q4,Madhya Pradesh,13737947,405571446,29.521983597694764
2020,Q4,Andhra Pradesh,17076565,869078538,50.89305360884932
2020,Q4,Tripura,409110,6017249,14.708144508811811
2020,Q4,Lakshadweep,4179,41144,9.845417564010528
2020,Q4,Manipur,288772,3783432,13.101796573074951
2020,Q4,Maharashtra,34432631,952006770,27.648388820476715
2020,Q4,Dadra & Nagar Haveli & Daman & Diu,296493,6196436,20.899097111904833
2020,Q4,Meghalaya,176447,2745917,15.562276490957625
2020,Q4,Andaman & Nicobar Islands,52396,887208,16.93274295747767
2020,Q4,Haryana,9129873,236101307,25.86030572385837
2020,Q4,Rajasthan,16329494,511015109,31.293995331392388
2020,Q4,Ladakh,64853,1232757,19.00848071793132
2020,Q4,Punjab,5157868,71191183,13.802443761647254
2020,Q4,Assam,3106153,49321814,15.87874583125815
2020,Q4,Jharkhand,4917938,126310835,25.683698127141902
2020,Q4,Odisha,8598751,270085293,31.40982835763008
2020,Q4,Bihar,12889833,317056600,24.597417204706996
2020,Q4,Kerala,6387169,91415273,14.312330392385109
2020,Q4,Karnataka,22400182,935510690,41.763530760598286
2020,Q4,Chandigarh,391402,6477974,16.55069212727579
2020,Q4,Telangana,15927797,764614235,48.00502134727106
2020,Q4,Himachal Pradesh,1508766,22001148,14.58221354404858
2020,Q4,West Bengal,15662093,291721919,18.62598562018499
2020,Q4,Gujarat,13605203,230497353,16.941853274809645
2020,Q4,Sikkim,148543,2478670,16.686548676140916
2020,Q4,Nagaland,192188,2922121,15.204492476117135
2020,Q4,Mizoram,78731,1096182,13.923130660095769
2020,Q4,Chhattisgarh,4190601,109900467,26.2254667051337
2020,Q4,Jammu & Kashmir,1079022,16018751,14.845620385867944
2020,Q4,Goa,527584,10991118,20.83292518347789
2020,Q4,Arunachal Pradesh,231292,4472667,19.337750549089463
2020,Q4,Delhi,9747968,243433752,24.972768888859708
2020,Q4,Uttarakhand,2596244,52564888,20.246513039606448
2021,Q1,Puducherry,346279,7914507,22.855867667401142
2021,Q1,Tamil Nadu,16632608,348801714,20.9709574108883
2021,Q1,Uttar Pradesh,29482075,639718324,21.69855154360743
2021,Q1,Madhya Pradesh,14839427,482500276,32.51475114234532
2021,Q1,Andhra Pradesh,18363733,957709447,52.15222019400957
2021,Q1,Tripura,439636,6009660,13.669626691171787
2021,Q1,Lakshadweep,4577,47283,10.330565872842474
2021,Q1,Manipur,312668,3709227,11.863148771220592
2021,Q1,Maharashtra,37077537,1101976484,29.72086533148089
2021,Q1,Dadra & Nagar Haveli & Daman & Diu,321396,7302462,22.72107306873763
2021,Q1,Meghalaya,190869,2939026,15.398131702895704
2021,Q1,Andaman & Nicobar Islands,57758,1004336,17.38869074413934
2021,Q1,Haryana,9827905,266686683,27.135659430977405
2021,Q1,Rajasthan,17661088,632535059,35.8151807521711
2021,Q1,Ladakh,69919,1184204,16.936798295170124
2021,Q1,Punjab,5568777,81052268,14.554769925245704
2021,Q1,Assam,3358448,56752364,16.89838997060547
2021,Q1,Jharkhand,5313049,141731331,26.676082038769074
2021,Q1,Odisha,9233009,301315474,32.63459117174044
2021,Q1,Bihar,13946288,355792608,25.511634923931013
2021,Q1,Kerala,6936943,108918733,15.701258176692528
2021,Q1,Karnataka,24095832,1084917385,45.025105794230306
2021,Q1,Chandigarh,419998,7919533,18.85612074343211
2021,Q1,Telangana,17149069,920040042,53.649562084099145
2021,Q1,Himachal Pradesh,1622951,24228094,14.928419896842234
2021,Q1,West Bengal,16808799,316832674,18.84921546149728
2021,Q1,Gujarat,14670126,264732874,18.04571235448148
2021,Q1,Sikkim,160213,2795331,17.447591643624424
2021,Q1,Nagaland,207808,2980581,14.342955997844165
2021,Q1,Mizoram,85750,1193214,13.915032069970845
2021,Q1,Chhattisgarh,4514551,124648704,27.610432133782517
2021,Q1,Jammu & Kashmir,1174818,18834009,16.03142699550058
2021,Q1,Goa,570035,15467672,27.134600506986413
2021,Q1,Arunachal Pradesh,251240,4796708,19.09213501034867
2021,Q1,Delhi,10467210,281201600,26.86500032004708
2021,Q1,Uttarakhand,2802122,59282260,21.15620233523023
2021,Q2,Puducherry,369961,5178916,13.998545792664633
2021,Q2,Tamil Nadu,17804542,343968474,19.319141935804918
